"TID","RU"
"TID_ALLIANCE_JOIN_CLAN","Создайте свой клан или вступите в другой, чтобы стать сильнее.\n\nСоклановцы помогают друг другу и могут отправлять подкрепление и заклинания."
"TID_ALLIANCE_JOIN_ERROR_NOT_FAMILY_FRIENDLY","В этом клане могут состоять только учетные записи определенного типа. Вам придется найти другой клан."
"TID_ALLIANCE_JOIN_OK","Теперь вы член клана <name>!"
"TID_ALLIANCE_LEADERBOARDS","Лучшие кланы"
"TID_ALLIANCE_LEAVE_CONFIRMATION","Вы правда хотите выйти из клана?"
"TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE","Покинуть клан?"
"TID_ALLIANCE_LIST_HEADER","Клан"
"TID_ALLIANCE_MAIL_FAIL_COOLDOWN","Прежде чем вновь отправить письмо, нужно подождать."
"TID_ALLIANCE_MAIL_NOTIFICATION","Новое письмо клану!"
"TID_ALLIANCE_MAIN_BUTTON","Клан"
"TID_ALLIANCE_PROMOTE_BUTTON","Повысить (новый статус: <role>)"
"TID_ALLIANCE_RAID_ATTACK_FAILED_ALL_ATTACKS_USED","Все атаки дней рейдов использованы."
"TID_ALLIANCE_RAID_FAILED_NOT_IN_RAID","Нельзя атаковать: дни рейдов не идут."
"TID_ALLIANCE_RAID_FAILED_RAID_IS_ENDING","Нельзя атаковать: дни рейдов заканчиваются."
"TID_ALLIANCE_REJECTED_BY","Получен отказ от игрока <name>"
"TID_ALLIANCE_REJECT_DEFAULT_MESSAGE","Простите, но мы решили не принимать вас в клан."
"TID_ALLIANCE_REJECT_MESSAGE_TITLE","Отказать игроку <name>"
"TID_ALLIANCE_REPORT_TEXT","Вы точно хотите сообщить, что название или описание клана «<name>» является неприемлемым?"
"TID_ALLIANCE_REQUEST_ACCEPTED","Добро пожаловать в наш клан!"
"TID_ALLIANCE_REQUEST_DECLINED","Запрос на вступление в клан отклонен!"
"TID_ALLIANCE_REQUEST_SENT","Запрос отправлен!"
"TID_ALLIANCE_ROLE_ADMIN","Старейшина"
"TID_ALLIANCE_ROLE_COLEADER","Соруководитель"
"TID_ALLIANCE_ROLE_LEADER","Глава"
"TID_ALLIANCE_ROLE_MEMBER","Член клана"
"TID_ALLIANCE_SCORE_LIMIT_NONE","0"
"TID_ALLIANCE_SEARCH","Найти клан:"
"TID_ALLIANCE_SEARCH_HINT","Введи тег или название клана"
"TID_ALLIANCE_SEARCH_HINT_CN","Введите тег клана"
"TID_ALLIANCE_SELECT_BADGE","Редактировать символ"
"TID_ALLIANCE_SNEAK_PREVIEW","Восстановив крепость клана, вы получите доступ к кланам!\n\nСоклановцы помогают друг другу, отправляя войска и заклинания."
"TID_ALLIANCE_STREAM_REWARD","Вы получили опыт: <number>"
"TID_ALLIANCE_STREAM_THANKS","Благодарю за подкрепление!"
"TID_ALLIANCE_TAB_BOOKMARKS","Закладки"
"TID_ALLIANCE_TAB_CLANS","Кланы"
"TID_ALLIANCE_TAB_NAME","Найти клан"
"TID_ALLIANCE_TROOP_RECEIVED","<troop> <level>-го ур.: пожертвовано игроком <avatar>!"
"TID_ALLIANCE_TYPE_CLOSED","закрытый"
"TID_ALLIANCE_TYPE_INVITE_ONLY","по приглашению"
"TID_ALLIANCE_TYPE_OPEN","открытый"
"TID_ALLIANCE_UNAVAILABLE","Информация о клане недоступна"
"TID_ALLIANCE_VISIT_BUTTON","В столицу"
"TID_ALLIANCE_WAR_ATTACKS_REMAINING","Атак осталось"
"TID_ALLIANCE_WAR_ATTACK_AVAILABLE","Доступно"
"TID_ALLIANCE_WAR_ATTACK_CONFIRM","Подтвердите атаку"
"TID_ALLIANCE_WAR_ATTACK_CONFIRM_1STAR","В сражении с этой деревней ваш клан уже получил 1 звезду. Попробуете улучшить результат?"
"TID_ALLIANCE_WAR_ATTACK_CONFIRM_2STARS","В сражении с этой деревней ваш клан уже получил 2 звезды. Попробуете улучшить результат?"
"TID_ALLIANCE_WAR_ATTACK_CONFIRM_3STARS","Эта деревня уже уничтожена, и клан больше не получит за нее звезд. Точно хотите напасть?"
"TID_ALLIANCE_WAR_ATTACK_CONFIRM_TITLE","Подтверждение атаки"
"TID_ALLIANCE_WAR_ATTACK_FAILED","Невозможно напасть на деревню, попробуйте позже!"
"TID_ALLIANCE_WAR_ATTACK_FAILED_ALL_ATTACKS_USED","Вы уже использовали все атаки в этой войне!"
"TID_ALLIANCE_WAR_ATTACK_FAILED_ATTACK_ONGOING","Вы уже атаковали, попробуйте позже!"
"TID_ALLIANCE_WAR_ATTACK_FAILED_INVALID_TARGET","На эту деревню нельзя напасть: неверная цель!"
"TID_ALLIANCE_WAR_ATTACK_FAILED_SNAPSHOT_NOT_AVAILABLE","Деревня сейчас недоступна! Повторите попытку позже."
"TID_ALLIANCE_WAR_ATTACK_FAILED_TARGET_NOT_IN_WAR","Невозможно напасть: вы вступили в клан после начала войны!"
"TID_ALLIANCE_WAR_ATTACK_FAILED_TARGET_UNDER_ATTACK","На деревню уже напали, попробуйте позже!"
"TID_ALLIANCE_WAR_ATTACK_NOT_USED","Не использовано"
"TID_ALLIANCE_WAR_ATTACK_TIME_TITLE","День сражения"
"TID_ALLIANCE_WAR_AVAILABLE_BONUS","Бонус за победу"
"TID_ALLIANCE_WAR_AVG_ATTACK_DURATION","Средняя продолжительность атаки"
"TID_ALLIANCE_WAR_BATTLE_XP","+<xpnum> к опыту клана получено за атаки"
"TID_ALLIANCE_WAR_BEST_ATTACK_ENEMY","Лучшая атака оппонента:"
"TID_ALLIANCE_WAR_BEST_ATTACK_FRIENDLY","Лучшая атака клана:"
"TID_ALLIANCE_WAR_BEST_NO_ATTACK_ENEMY","Лучшего врага нет"
"TID_ALLIANCE_WAR_BEST_NO_ATTACK_FRIENDLY","Лучшего в клане нет"
"TID_ALLIANCE_WAR_CANNOT_ATTACK","Деревня не готова. Пожалуйста, повторите через несколько минут."
"TID_ALLIANCE_WAR_CANNOT_ATTACK_PREPARATION","Напасть нельзя: война еще не началась!"
"TID_ALLIANCE_WAR_CANNOT_ATTACK_SPECTATOR","Наблюдатели не могут нападать!"
"TID_ALLIANCE_WAR_CANNOT_ATTACK_WAR_ENDED","Напасть нельзя: война уже закончилась!"
"TID_ALLIANCE_WAR_CANNOT_SCOUT_WAR_OVER","Шпионить невозможно: война окончена!"
"TID_ALLIANCE_WAR_CLAN_BANK","Склад клана:"
"TID_ALLIANCE_WAR_CLOSE_RESULTS_SCREEN","Просмотр карты"
"TID_ALLIANCE_WAR_COOLDOWN","Ваш клан отстранили от войн кланов на <time>."
"TID_ALLIANCE_WAR_DATA_NOT_AVAILABLE","Войны кланов загружаются, повторите попытку еще раз."
"TID_ALLIANCE_WAR_DEFEAT","Поражение"
"TID_ALLIANCE_WAR_EDIT_MEMBERS","Выберите участников войны"
"TID_ALLIANCE_WAR_ENDED","Война окончена!"
"TID_ALLIANCE_WAR_ENDED_PROMPT","Война окончена!"
"TID_ALLIANCE_WAR_ENDING_PROMPT","Конец войны"
"TID_ALLIANCE_WAR_ENEMY_CLAN","Вражеский клан"
"TID_ALLIANCE_WAR_ENEMY_TEAM","Команда противника"
"TID_ALLIANCE_WAR_EVENTS","Военные события"
"TID_ALLIANCE_WAR_EVENT_25PERCENT_DESTROYED","Уничтожено 25 %!"
"TID_ALLIANCE_WAR_EVENT_50PERCENT_DESTROYED","Уничтожено 50 %!"
"TID_ALLIANCE_WAR_EVENT_75PERCENT_DESTROYED","Уничтожено 75 %!"
"TID_ALLIANCE_WAR_EVENT_PREPARATION_STARTED","Подготовка началась!"
"TID_ALLIANCE_WAR_EVENT_TOWN_HALL_DESTROYED","Ратуша уничтожена!"
"TID_ALLIANCE_WAR_EVENT_WAR_ENDED","Война окончена"
"TID_ALLIANCE_WAR_EVENT_WAR_STARTED","Война началась"
"TID_ALLIANCE_WAR_EXP_AVAILABLE","Удачная атака принесет клану +<num> к опыту"
"TID_ALLIANCE_WAR_FAILED_ATTACKING_SAME_TARGET","Вы уже нападали на эту цель!"
"TID_ALLIANCE_WAR_FAILED_WAR_IS_ENDING","Невозможно напасть: война почти окончена!"
"TID_ALLIANCE_WAR_HAS_ENDED","Текущая война кланов окончена!"
"TID_ALLIANCE_WAR_HISTORY_BROWSE_UNAVAILABLE","Подробности недоступны"
"TID_ALLIANCE_WAR_IN_WAR","Война началась!"
"TID_ALLIANCE_WAR_LAST_MOMENT_EVENT","Последний шанс!"
"TID_ALLIANCE_WAR_LOOKING_FOR_OPPONENT","Подбор вражеского клана..."
"TID_ALLIANCE_WAR_LOOT_BONUS_TITLE","Бонус за победу"
"TID_ALLIANCE_WAR_LOOT_COLLECT_INFO","Забрать бонус военной добычи можно из сокровищницы."
"TID_ALLIANCE_WAR_LOOT_COLLECT_INFO_2","Вы можете получить ресурсы военного бонуса в сокровищнице и плавильне."
"TID_ALLIANCE_WAR_LOOT_CONFIRMATION","Вы точно хотите перенести все ресурсы из сокровищницы в хранилища?"
"TID_ALLIANCE_WAR_LOOT_CONFIRMATION_TITLE","Собрать ресурсы?"
"TID_ALLIANCE_WAR_LOOT_DELIVERED","Военная добыча доставлена в сокровищницу!"
"TID_ALLIANCE_WAR_LOOT_NOT_EXIST","В сокровищнице пусто!"
"TID_ALLIANCE_WAR_LOOT_TRANSFERRED","Ресурсы собраны из сокровищницы!"
"TID_ALLIANCE_WAR_MATCHED_WAITING_OPPONENT","Ждем ответа противника"
"TID_ALLIANCE_WAR_MEMBER_STAT_DEFENCES","Осад выдержано:"
"TID_ALLIANCE_WAR_MOST_EXPENSIVE_ATTACK","Самая дорогая победа"
"TID_ALLIANCE_WAR_MOST_HEROIC_DEFENCE","Самая героическая оборона"
"TID_ALLIANCE_WAR_MOST_HEROIC_VICTORY","Самая героическая атака"
"TID_ALLIANCE_WAR_MY_ATTACKS","Мои атаки:"
"TID_ALLIANCE_WAR_MY_TEAM","Моя команда"
"TID_ALLIANCE_WAR_NEW_WAR","Новая война"
"TID_ALLIANCE_WAR_NOT_IN_CLAN","Прежде чем участвовать в войне кланов, нужно вступить в клан!"
"TID_ALLIANCE_WAR_NOT_PREPARED_FOR_WAR","Подготовка к войне..."
"TID_ALLIANCE_WAR_NO_BEST_ATTACK","Не атаковали"
"TID_ALLIANCE_WAR_NO_HEROIC_VICTORY","Нет"
"TID_ALLIANCE_WAR_NUM_DEFENCES","Атак отбито: <number>"
"TID_ALLIANCE_WAR_OBJECTIVES","Цели клана"
"TID_ALLIANCE_WAR_PERSONAL_ATTACK_1","Атака 1"
"TID_ALLIANCE_WAR_PERSONAL_ATTACK_2","Атака 2"
"TID_ALLIANCE_WAR_PERSONAL_LOOT_RESULT","Военный бонус"
"TID_ALLIANCE_WAR_PLAYER_ON_WAR_COOLDOWN","Начать новую войну можно через"
"TID_ALLIANCE_WAR_PREPARATION_TIME_TITLE","День подготовки"
"TID_ALLIANCE_WAR_PREPARED_FOR_WAR","К войне готовы!"
"TID_ALLIANCE_WAR_PREPARED_HEADER_ENEMY","Готовые к войне враги:"
"TID_ALLIANCE_WAR_PREPARED_HEADER_FRIENDLY","Готовые к войне соклановцы:"
"TID_ALLIANCE_WAR_PREPARE_FOR_WAR","Готовьтесь к войне!"
"TID_ALLIANCE_WAR_REPLAY_PERSONAL_ATTACK_1","Повтор 1"
"TID_ALLIANCE_WAR_REPLAY_PERSONAL_ATTACK_2","Повтор 2"
"TID_ALLIANCE_WAR_REPLAY_PERSONAL_DEFENSE","Повтор"
"TID_ALLIANCE_WAR_RESOURCE_STORAGE_CAPACITY","<resource>: <number>"
"TID_ALLIANCE_WAR_RETURN_TO_CURRENT_WAR","Текущая война"
"TID_ALLIANCE_WAR_SAVE_VILLAGE","Сохранить деревню"
"TID_ALLIANCE_WAR_SCOUT","Шпионить"
"TID_ALLIANCE_WAR_SNAPSHOT_FAILED","Не получилось сохранить, пожалуйста, попробуйте позже!"
"TID_ALLIANCE_WAR_SPECTATING_NOT_ALLOWED","Наблюдение за войной не разрешено"
"TID_ALLIANCE_WAR_SPECTATOR_MESSAGE","Вы не готовы к этой войне"
"TID_ALLIANCE_WAR_SPECTATOR_MODE","Наблюдение за войной"
"TID_ALLIANCE_WAR_STARS_WON","Звезды"
"TID_ALLIANCE_WAR_STARTWAR_INFO_CLANMEMBER","Сражайтесь против кланов за славу, добычу и опыт!\n\n\nВы уже готовы? Предложите главе клана начать войну."
"TID_ALLIANCE_WAR_STARTWAR_INFO_LEADER","Сражайтесь против кланов за славу, добычу и опыт!\n\n\nГотовы начать? Ведите соклановцев в бой!"
"TID_ALLIANCE_WAR_STARTWAR_INFO_NOT_ENOUGH_MEMBERS","Сражайтесь против кланов за славу, добычу и опыт!\n\n\nДля начала нужно минимум 10 соклановцев."
"TID_ALLIANCE_WAR_STAR_XP","+<xpnum> оч. опыта клана за получение звезд (<num>)"
"TID_ALLIANCE_WAR_STAR_XP_DESC","Бонус: +<xpnum> оч. опыта клана за получение звезд (<num>)"
"TID_ALLIANCE_WAR_STATS_TAB","Статистика войны"
"TID_ALLIANCE_WAR_STAT_ATTACKS","Атак использовано"
"TID_ALLIANCE_WAR_STAT_ATTACKS_LOST","Неудачных атак"
"TID_ALLIANCE_WAR_STAT_AVG_DESTRUCTION","Средний урон"
